old_value	replace_to
Candidate_Gene_7	Candidate_Gene_7
Candidate_Gene_1	Candidate_Gene_1
Candidate_Gene_16	Candidate_Gene_16
Candidate_Gene_2	Candidate_Gene_2
Candidate_Gene_14	Candidate_Gene_14
Candidate_Gene_14	Candidate_Gene_14
Candidate_Gene_18	Candidate_Gene_18
Candidate_Gene_12	Candidate_Gene_12
Candidate_Gene_19	Candidate_Gene_19
Candidate_Gene_6	Candidate_Gene_6
Candidate_Gene_9	Candidate_Gene_9
Candidate_Gene_4	Candidate_Gene_4
Candidate_Gene_3	Candidate_Gene_3
Candidate_Gene_5	Candidate_Gene_5
Candidate_Gene_8	Candidate_Gene_8
Candidate_Gene_15	Candidate_Gene_15
Candidate_Gene_13	Candidate_Gene_13
Candidate_Gene_10	Candidate_Gene_10
Candidate_Gene_17	Candidate_Gene_17
Candidate_Gene_4	Candidate_Gene_4
Candidate_Gene_11	Candidate_Gene_11
Transcript_ID_7	Transcript_ID_7
Transcript_ID_1	Transcript_ID_1
Transcript_ID_16	Transcript_ID_16
Transcript_ID_2	Transcript_ID_2
Transcript_ID_14	Transcript_ID_14
Transcript_ID_14	Transcript_ID_14
Transcript_ID_18	Transcript_ID_18
Transcript_ID_12	Transcript_ID_12
Transcript_ID_19	Transcript_ID_19
Transcript_ID_6	Transcript_ID_6
Transcript_ID_9	Transcript_ID_9
Transcript_ID_4	Transcript_ID_4
Transcript_ID_3	Transcript_ID_3
Transcript_ID_5	Transcript_ID_5
Transcript_ID_8	Transcript_ID_8
Transcript_ID_15	Transcript_ID_15
Transcript_ID_13	Transcript_ID_13
Transcript_ID_10	Transcript_ID_10
Transcript_ID_17	Transcript_ID_17
Transcript_ID_4	Transcript_ID_4
Transcript_ID_11	Transcript_ID_11